Obs_Date_Local,Observatory,Name,Catalog,BJD0_JD,Eclipse_Time_UTC,Type,Altitude_deg,Period_days,RAJ2000,DEJ2000,Mag
2026-06-07,ETAMU,KIC 06836140,Kepler,2454964.661378,2026-06-08 04:28:42.869,Primary,47.5,0.487721,281.04071,42.39786,14.65
2026-06-07,ETAMU,KIC 11405559,Kepler,2454964.84459,2026-06-08 04:29:13.027,Secondary,39.9,0.2849367,293.22563,49.24258,13.69
2026-06-07,ETAMU,KIC 05774375,Kepler,2454965.677949,2026-06-08 04:29:18.276,Primary,43.8,1.5499774,285.92591,41.09081,13.94
2026-06-07,ETAMU,KIC 04563150,Kepler,2454964.769475,2026-06-08 04:31:30.550,Secondary,39.3,0.2747205,292.11163,39.6613,14.0
2026-06-07,ETAMU,KIC 10989032,Kepler,2454966.704728,2026-06-08 04:31:35.358,Primary,37.5,2.3050976,297.39346,48.41074,13.87
2026-06-07,ETAMU,KIC 03836522,Kepler,2455003.511422,2026-06-08 04:31:46.318,Secondary,43.1,1.5403797,286.97743,38.91322,14.84
2026-06-07,ETAMU,KIC 08982501,Kepler,2455000.141012,2026-06-08 04:31:56.388,Primary,34.9,0.4144914,300.34649,45.27228,14.46
2026-06-07,ETAMU,KIC 10002261,Kepler,2454957.216643,2026-06-08 04:32:58.025,Primary,44.1,12.7137942,287.55952,46.9567,13.1
2026-06-07,ETAMU,KIC 09767437,Kepler,2454953.750593,2026-06-08 04:33:19.176,Secondary,42.1,0.712722,290.49434,46.53641,12.84
2026-06-07,ETAMU,KIC 10288502,Kepler,2454964.677419,2026-06-08 04:34:06.515,Primary,37.9,0.2301847,297.04182,47.39392,14.79
2026-06-07,ETAMU,KIC 08982514,Kepler,2454953.928468,2026-06-08 04:34:26.745,Secondary,35.3,0.4144913,300.3535,45.27357,13.23
2026-06-07,ETAMU,KIC 04945857,Kepler,2454964.832845,2026-06-08 04:34:46.855,Secondary,36.3,0.3354148,297.18564,40.04914,13.96
2026-06-07,ETAMU,KIC 04377638,Kepler,2455004.265058,2026-06-08 04:34:56.104,Secondary,38.0,2.8218747,294.74384,39.49942,11.27
2026-06-07,ETAMU,KIC 05567438,Kepler,2454964.989528,2026-06-08 04:35:02.407,Primary,34.7,0.5845398,299.74897,40.77251,13.81
2026-06-07,ETAMU,KIC 06265720,Kepler,2454964.727675,2026-06-08 04:35:05.452,Secondary,46.4,0.3124277,284.01414,41.66564,14.82
2026-06-07,ETAMU,KIC 11722816,Kepler,2454964.744235,2026-06-08 04:35:13.146,Secondary,38.9,0.3203734,296.49862,49.80164,14.23
2026-06-07,ETAMU,KIC 06504095,Kepler,2454964.632606,2026-06-08 04:35:21.497,Secondary,45.8,0.3067755,284.96093,41.94689,14.84
2026-06-07,ETAMU,KIC 10855535,Kepler,2454964.629315,2026-06-08 04:35:44.034,Primary,43.5,0.1127824,289.21187,48.20314,13.87
2026-06-07,ETAMU,KIC 03454864,Kepler,2454964.780262,2026-06-08 04:35:47.905,Secondary,38.3,0.2941204,294.22172,38.53113,13.73
2026-06-07,ETAMU,KIC 05357882,Kepler,2455000.089402,2026-06-08 04:35:52.061,Primary,41.7,0.3874025,290.35377,40.55094,14.69
2026-06-07,ETAMU,KIC 09392682,Kepler,2454954.624705,2026-06-08 04:36:08.364,Primary,45.6,0.8929178,286.05713,45.94937,11.5
2026-06-07,ETAMU,KIC 04945588,Kepler,2454954.186276,2026-06-08 04:36:51.374,Secondary,36.7,1.12908,297.11542,40.02421,11.15
2026-06-07,ETAMU,KIC 07282128,Kepler,2454964.935701,2026-06-08 04:37:12.802,Primary,41.3,0.3470502,291.81648,42.80261,14.34
2026-06-07,ETAMU,KIC 05294739,Kepler,2454968.053209,2026-06-08 04:38:09.705,Primary,37.3,3.7359952,296.8372,40.4731,13.93
2026-06-07,ETAMU,KIC 06128141,Kepler,2454965.726351,2026-06-08 04:38:19.114,Primary,40.2,1.8726245,293.25288,41.42632,14.34
2026-06-07,ETAMU,KIC 07938870,Kepler,2454953.693993,2026-06-08 04:38:40.718,Secondary,48.6,0.5807261,282.18327,43.70638,12.3
2026-06-07,ETAMU,KIC 06677225,Kepler,2454964.733473,2026-06-08 04:39:17.442,Secondary,44.9,0.5250272,287.13733,42.14445,13.72
2026-06-07,ETAMU,KIC 06141791,Kepler,2454998.492254,2026-06-08 04:39:19.274,Primary,37.8,13.6590347,296.75497,41.4846,12.99
2026-06-07,ETAMU,TIC 0229597404,TESS,2458959.729059,2026-06-08 04:40:06.036,Secondary,45.2,6.3725902,273.4723513213,72.1660654841,12.66
