#mu,eb,a_crit
0.160,0.51,0.163
0.040,0.75,0.087
0.080,0.66,0.113
0.180,0.46,0.180
0.120,0.60,0.131
0.140,0.55,0.147
0.220,0.38,0.204
0.240,0.35,0.207
0.001,0.49,0.355
0.020,0.71,0.116
0.060,0.71,0.097
0.200,0.45,0.181
0.080,0.67,0.109
0.160,0.52,0.157
0.100,0.64,0.117
0.040,0.76,0.082
0.120,0.61,0.126
0.180,0.47,0.173
0.140,0.56,0.144
0.220,0.39,0.201
0.240,0.36,0.205
0.001,0.50,0.347
0.020,0.72,0.108
0.200,0.46,0.173
0.060,0.72,0.093
0.080,0.68,0.106
0.160,0.53,0.151
0.100,0.65,0.115
0.040,0.77,0.079
0.180,0.48,0.171
0.001,0.51,0.344
0.120,0.62,0.122
0.140,0.57,0.139
0.220,0.40,0.192
0.240,0.37,0.203
0.200,0.47,0.171
0.020,0.73,0.105
0.160,0.54,0.149
0.060,0.73,0.090
0.080,0.69,0.101
0.100,0.66,0.109
0.180,0.49,0.164
0.120,0.63,0.118
0.001,0.52,0.314
0.040,0.78,0.075
0.140,0.58,0.135
0.200,0.48,0.168
0.220,0.41,0.191
0.240,0.38,0.200
0.020,0.74,0.100
0.160,0.55,0.144
0.080,0.70,0.097
0.060,0.74,0.084
0.100,0.67,0.106
0.180,0.50,0.164
0.220,0.42,0.188
0.140,0.59,0.131
0.040,0.79,0.072
0.120,0.64,0.115
0.001,0.53,0.313
0.200,0.49,0.162
0.240,0.39,0.193
0.020,0.75,0.099
0.160,0.56,0.140
0.060,0.75,0.081
0.080,0.71,0.093
0.180,0.51,0.156
0.100,0.68,0.103
0.220,0.43,0.181
0.040,0.80,0.069
0.001,0.54,0.304
0.140,0.60,0.127
0.160,0.57,0.138
0.120,0.65,0.112
0.200,0.50,0.157
0.240,0.40,0.190
0.020,0.76,0.094
0.060,0.76,0.077
0.080,0.72,0.090
0.100,0.69,0.098
0.050,0.00,0.479
0.180,0.52,0.154
0.220,0.44,0.180
0.140,0.61,0.123
0.001,0.55,0.303
0.160,0.58,0.133
0.120,0.66,0.108
0.240,0.41,0.189
0.200,0.51,0.155
0.060,0.77,0.076
0.080,0.73,0.088
0.020,0.77,0.089
0.100,0.70,0.094
0.050,0.01,0.479
0.180,0.53,0.149
0.220,0.45,0.176
0.001,0.56,0.275
0.140,0.62,0.120
0.160,0.59,0.129
0.120,0.67,0.104
0.200,0.52,0.148
0.060,0.78,0.071
0.240,0.42,0.181
0.080,0.74,0.082
0.020,0.78,0.085
0.050,0.02,0.474
0.100,0.71,0.092
0.180,0.54,0.147
0.220,0.46,0.170
0.060,0.79,0.068
0.120,0.68,0.100
0.160,0.60,0.124
0.240,0.43,0.178
0.001,0.57,0.275
0.200,0.53,0.147
0.140,0.63,0.116
0.020,0.79,0.082
0.080,0.75,0.079
0.050,0.03,0.468
0.100,0.72,0.088
0.220,0.47,0.169
0.180,0.55,0.142
